symbol,price
YFIBNB,82.19000000
YFIBTC,0.15310000
YFIBUSD,5325.00000000
YFIUSDT,10486.00000000
BLZBUSD,0.05530000
KMDBUSD,0.46760000
BALUSDT,5.82300000
BLZUSDT,0.35950000
IRISUSDT,0.04192000
KMDUSDT,0.36380000
BTCDAI,68555.38000000
ETHDAI,3929.92000000
BNBDAI,487.60000000
USDTDAI,1.00120000
BUSDDAI,1.00000000
JSTBNB,0.00021850
JSTBTC,0.00000061
JSTBUSD,0.02103000
JSTUSDT,0.04159000
SRMBNB,0.00084000
SRMBTC,0.00001523
SRMBUSD,0.03530000
SRMUSDT,0.24442000
ANTBNB,0.01764000
ANTBTC,0.00014320
ANTBUSD,4.30300000
ANTUSDT,7.40700000
CRVBNB,0.00687000
CRVBTC,0.00001178
CRVBUSD,0.50410000
CRVUSDT,0.80620000
SANDBNB,0.00152600
SANDBTC,0.00001086
SANDUSDT,0.74330000
SANDBUSD,0.32610000
OCEANBNB,0.00259600
OCEANBTC,0.00001849
OCEANBUSD,0.28480000
OCEANUSDT,1.26650000
NMRBTC,0.00062050
NMRBUSD,11.43000000
NMRUSDT,42.44000000
DOTBNB,0.02210000
DOTBTC,0.00015720
DOTBUSD,7.37300000
DOTUSDT,10.76100000
LUNABNB,0.00000019
LUNABTC,0.00000001
LUNABUSD,0.94420000
LUNAUSDT,1.12930000
IDEXBTC,0.00000123
IDEXBUSD,0.04879000
RSRBNB,0.00000852
RSRBTC,0.00000016
RSRBUSD,0.00184000
RSRUSDT,0.00599500
PAXGBNB,6.46900000
PAXGBTC,0.03120000
PAXGBUSD,1941.00000000
PAXGUSDT,2134.00000000
WNXMBNB,0.17350000
WNXMBTC,0.00067200
WNXMBUSD,22.16500000
WNXMUSDT,81.87000000
TRBBNB,0.51700000
TRBBTC,0.00155530
TRBBUSD,90.12000000
TRBUSDT,106.27000000
ETHNGN,805670.00000000
DOTBIDR,72297.00
LINKAUD,7.98600000
SXPAUD,1.86800000
BZRXBNB,0.00514000
BZRXBTC,0.00000463
BZRXBUSD,0.21640000
BZRXUSDT,0.21560000
WBTCBTC,1.00040000
WBTCETH,17.46000000
SUSHIBNB,0.00269800
SUSHIBTC,0.00002909
SUSHIBUSD,0.56600000
SUSHIUSDT,1.99700000
YFIIBNB,4.42000000
